TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
10.0001;17161;1785;1261;524;0;15376

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
-1.6000001e-02;0.0000000e+00;8.0000004e-03;0;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002708e+03;6.0968693e+01;0;
-1.6000001e-02;0.0000000e+00;1.6000001e-02;1;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002746e+03;6.1835285e+01;0;
-8.0000004e-03;0.0000000e+00;8.0000004e-03;124;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005240e+03;1.1809631e+02;0;
-8.0000004e-03;0.0000000e+00;1.6000001e-02;125;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004742e+03;1.0684287e+02;0;
0.0000000e+00;0.0000000e+00;8.0000004e-03;248;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0007710e+03;1.7387589e+02;0;
0.0000000e+00;0.0000000e+00;1.6000001e-02;249;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004863e+03;1.0958360e+02;0;
-1.6000001e-02;0.0000000e+00;-1.6000001e-02;868;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0000485e+03;1.0919253e+01;0;
-1.6000001e-02;0.0000000e+00;-8.0000004e-03;869;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0001685e+03;3.7921993e+01;0;
-1.6000001e-02;0.0000000e+00;0.0000000e+00;870;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002579e+03;5.8080208e+01;0;
-8.0000004e-03;0.0000000e+00;-1.6000001e-02;871;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0001545e+03;3.4787853e+01;0;
-8.0000004e-03;0.0000000e+00;-8.0000004e-03;872;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003240e+03;7.2965172e+01;0;
