TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
1.40002;4203;0;0;0;0;4203

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
2.3151848e-01;0.0000000e+00;1.3333568e-01;1996;-6.3612330e-04;0.0000000e+00;9.9486228e-05;1.0026920e+03;3.8869465e+03;3;
2.3656149e-01;0.0000000e+00;1.3113050e-01;2059;-3.7983354e-04;0.0000000e+00;1.2190499e-04;1.0020740e+03;2.9890171e+03;3;
2.4134214e-01;0.0000000e+00;1.3028121e-01;2129;-4.1922843e-04;0.0000000e+00;-7.3514930e-05;1.0029554e+03;4.2705923e+03;3;
2.4637614e-01;0.0000000e+00;1.2776089e-01;2189;-4.0826235e-05;0.0000000e+00;5.7226003e-05;1.0041131e+03;5.9642178e+03;3;
2.4932349e-01;0.0000000e+00;1.3216120e-01;2251;-5.0779968e-04;0.0000000e+00;1.3583062e-04;1.0025438e+03;3.6713391e+03;3;
2.5029239e-01;0.0000000e+00;1.2595820e-01;2256;-9.4891817e-05;0.0000000e+00;-6.3681482e-06;1.0046108e+03;6.6959756e+03;3;
2.5484949e-01;0.0000000e+00;1.2595549e-01;2318;-2.5357635e-04;0.0000000e+00;1.4944350e-04;1.0035955e+03;5.2056016e+03;3;
2.5406158e-01;0.0000000e+00;1.3116914e-01;2319;-9.2405244e-05;0.0000000e+00;-3.9796545e-05;1.0024588e+03;3.5477266e+03;3;
2.6014593e-01;0.0000000e+00;1.2460713e-01;2389;-7.3464536e-05;0.0000000e+00;-1.6100517e-04;1.0028451e+03;4.1098584e+03;3;
2.5891536e-01;0.0000000e+00;1.3009299e-01;2390;1.4381105e-04;0.0000000e+00;-5.4047082e-04;1.0026504e+03;3.8263652e+03;3;
2.6535249e-01;0.0000000e+00;1.2275950e-01;2454;1.0011547e-04;0.0000000e+00;8.6335813e-06;1.0042259e+03;6.1298501e+03;3;
2.6364172e-01;0.0000000e+00;1.2791407e-01;2455;3.2106679e-04;0.0000000e+00;-2.3582111e-04;1.0026248e+03;3.7890647e+03;3;
2.6784104e-01;0.0000000e+00;1.3202757e-01;2526;1.1105193e-03;0.0000000e+00;-5.3386251e-04;1.0032274e+03;4.6674092e+03;3;
2.6875448e-01;0.0000000e+00;1.2728031e-01;2525;4.8778660e-04;0.0000000e+00;-1.6482304e-04;1.0023105e+03;3.3323315e+03;3;
2.6260641e-01;0.0000000e+00;1.3347465e-01;2456;9.4575831e-04;0.0000000e+00;-7.3081965e-04;1.0032252e+03;4.6642007e+03;3;
2.7012327e-01;0.0000000e+00;1.2160263e-01;2524;9.8123448e-05;0.0000000e+00;-3.2287513e-05;1.0055207e+03;8.0392339e+03;3;
2.7473477e-01;0.0000000e+00;1.2112384e-01;2595;1.3227748e-04;0.0000000e+00;-9.8115315e-06;1.0045839e+03;6.6562588e+03;3;
2.7347314e-01;0.0000000e+00;1.2697439e-01;2596;5.7087775e-04;0.0000000e+00;-4.5807665e-05;1.0025040e+03;3.6134739e+03;3;
2.7227521e-01;0.0000000e+00;1.3302580e-01;2597;1.3779169e-03;0.0000000e+00;1.2555681e-04;1.0029397e+03;4.2477256e+03;3;
2.7928814e-01;0.0000000e+00;1.2156682e-01;2663;1.7508461e-04;0.0000000e+00;-1.8327226e-05;1.0031160e+03;4.5048105e+03;3;
2.7834141e-01;0.0000000e+00;1.2641077e-01;2664;5.9186254e-04;0.0000000e+00;-3.8491369e-05;1.0024750e+03;3.5713262e+03;3;
2.7669764e-01;0.0000000e+00;1.3133262e-01;2665;1.0328158e-03;0.0000000e+00;-1.7864216e-04;1.0030439e+03;4.3997363e+03;3;
2.8513828e-01;0.0000000e+00;1.2017126e-01;2733;2.8271758e-04;0.0000000e+00;-1.5990964e-04;1.0027030e+03;3.9029382e+03;3;
2.8365821e-01;0.0000000e+00;1.2466980e-01;2734;5.3269311e-04;0.0000000e+00;-3.2047054e-04;1.0023063e+03;3.3262156e+03;3;
2.8245354e-01;0.0000000e+00;1.2965420e-01;2735;9.1583305e-04;0.0000000e+00;-6.0637129e-05;1.0038784e+03;5.6199551e+03;3;
2.8658509e-01;0.0000000e+00;1.3192078e-01;2736;2.4717783e-03;0.0000000e+00;-2.2485584e-03;1.0022210e+03;3.2023357e+03;3;
2.9029337e-01;0.0000000e+00;1.2011056e-01;2804;5.8599550e-04;0.0000000e+00;3.1901862e-05;1.0024890e+03;3.5916450e+03;3;
2.8801164e-01;0.0000000e+00;1.2575729e-01;2805;5.5616203e-04;0.0000000e+00;-1.3705165e-04;1.0035073e+03;5.0764771e+03;3;
2.9106629e-01;0.0000000e+00;1.2959179e-01;2806;3.3980361e-03;0.0000000e+00;-1.2918301e-03;1.0028784e+03;4.1583257e+03;3;
2.9631734e-01;0.0000000e+00;1.1957370e-01;2876;1.6646684e-04;0.0000000e+00;1.2503417e-04;1.0026172e+03;3.7780532e+03;3;
2.9299521e-01;0.0000000e+00;1.2383734e-01;2877;8.6232880e-04;0.0000000e+00;-1.8347055e-04;1.0032980e+03;4.7706372e+03;3;
2.9599395e-01;0.0000000e+00;1.2777354e-01;2878;3.2880364e-03;0.0000000e+00;-1.1646777e-03;1.0026459e+03;3.8197930e+03;3;
2.9900306e-01;0.0000000e+00;1.2372784e-01;2949;1.9717587e-03;0.0000000e+00;-1.0178043e-03;1.0032129e+03;4.6462876e+03;3;
3.0260113e-01;0.0000000e+00;1.2748308e-01;2950;2.6970329e-03;0.0000000e+00;-2.5643644e-04;1.0031601e+03;4.5692134e+03;3;
2.9972133e-01;0.0000000e+00;1.3153756e-01;2951;2.6489587e-03;0.0000000e+00;-5.1122234e-04;1.0031806e+03;4.5991489e+03;3;
2.9496685e-01;0.0000000e+00;1.3322560e-01;2879;2.7715883e-03;0.0000000e+00;-5.6024716e-04;1.0027753e+03;4.0081541e+03;3;
3.0208918e-01;0.0000000e+00;1.1977144e-01;3031;1.4551966e-03;0.0000000e+00;-8.5327082e-04;1.0022997e+03;3.3165544e+03;3;
3.0540377e-01;0.0000000e+00;1.2372574e-01;3032;1.2380882e-03;0.0000000e+00;-9.7972446e-04;1.0032672e+03;4.7255254e+03;3;
3.0778480e-01;0.0000000e+00;1.2889189e-01;3033;2.7433028e-03;0.0000000e+00;-5.1528763e-04;1.0022839e+03;3.2936887e+03;3;
3.0809566e-01;0.0000000e+00;1.1967721e-01;3107;2.6262004e-03;0.0000000e+00;4.1054431e-04;1.0025196e+03;3.6361038e+03;3;
3.1107360e-01;0.0000000e+00;1.2369483e-01;3108;1.6712756e-03;0.0000000e+00;1.5247647e-03;1.0036780e+03;5.3263042e+03;3;
3.1247929e-01;0.0000000e+00;1.2855200e-01;3109;3.5628981e-03;0.0000000e+00;1.1266174e-03;1.0032897e+03;4.7585112e+03;3;
3.1465930e-01;0.0000000e+00;1.1995346e-01;3183;7.4284390e-04;0.0000000e+00;3.9680462e-04;1.0025601e+03;3.6950396e+03;3;
3.1624228e-01;0.0000000e+00;1.2460557e-01;3184;2.1655005e-03;0.0000000e+00;6.6281689e-05;1.0021018e+03;3.0293818e+03;3;
3.1798777e-01;0.0000000e+00;1.2987837e-01;3185;3.5150894e-03;0.0000000e+00;2.7500902e-04;1.0036516e+03;5.2877012e+03;3;
