TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
1.50003;4203;0;0;0;0;4203

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
3.0791044e-01;0.0000000e+00;1.2893739e-01;3033;-3.2262123e-04;0.0000000e+00;2.6330192e-04;1.0022766e+03;3.2830542e+03;3;
3.0822545e-01;0.0000000e+00;1.1970898e-01;3107;7.2716219e-05;0.0000000e+00;1.7939728e-04;1.0024988e+03;3.6059312e+03;3;
3.1114218e-01;0.0000000e+00;1.2380315e-01;3108;-1.0646086e-04;0.0000000e+00;4.4022422e-04;1.0037277e+03;5.3990581e+03;3;
3.1261805e-01;0.0000000e+00;1.2865564e-01;3109;-6.4455334e-04;0.0000000e+00;7.8524742e-04;1.0032568e+03;4.7103711e+03;3;
3.1467211e-01;0.0000000e+00;1.1996993e-01;3183;-3.4315675e-04;0.0000000e+00;-6.8558293e-05;1.0025262e+03;3.6457773e+03;3;
3.1630155e-01;0.0000000e+00;1.2462351e-01;3184;-6.1940937e-04;0.0000000e+00;2.2596677e-04;1.0021036e+03;3.0320376e+03;3;
3.1811851e-01;0.0000000e+00;1.2992191e-01;3185;-6.5003382e-04;0.0000000e+00;1.8024124e-04;1.0036545e+03;5.2919009e+03;3;
3.0516765e-01;0.0000000e+00;1.3296789e-01;3034;1.4130460e-03;0.0000000e+00;9.9588721e-04;1.0029510e+03;4.2641855e+03;3;
3.2138959e-01;0.0000000e+00;1.2618524e-01;3258;-8.0390327e-04;0.0000000e+00;-1.6567876e-04;1.0025356e+03;3.6593567e+03;3;
3.2343355e-01;0.0000000e+00;1.3140063e-01;3259;-8.7091886e-04;0.0000000e+00;6.2924119e-05;1.0030876e+03;4.4634878e+03;3;
3.2060313e-01;0.0000000e+00;1.2145644e-01;3257;-3.5674070e-04;0.0000000e+00;-9.3785304e-05;1.0032762e+03;4.7387192e+03;3;
3.2533383e-01;0.0000000e+00;1.2118962e-01;3333;-2.2545694e-04;0.0000000e+00;-3.4990353e-05;1.0045250e+03;6.5695684e+03;3;
3.2634082e-01;0.0000000e+00;1.2700810e-01;3334;-8.8181690e-04;0.0000000e+00;-8.2071740e-05;1.0025258e+03;3.6451560e+03;3;
3.2772222e-01;0.0000000e+00;1.3308467e-01;3335;-7.2316563e-04;0.0000000e+00;-2.1657738e-04;1.0028470e+03;4.1126152e+03;3;
3.2986614e-01;0.0000000e+00;1.2159982e-01;3406;-2.4585819e-04;0.0000000e+00;-4.3290103e-05;1.0054856e+03;7.9872856e+03;3;
